date,co2_mean,co2_sd
1958 March,315.7,NA
1958 April,317.45,NA
1958 May,317.51,NA
1958 June,317.24,NA
1958 July,315.86,NA
1958 August,314.93,NA
1958 September,313.2,NA
1958 October,312.43,NA
1958 November,313.33,NA
1958 December,314.67,NA
1959 January,315.58,NA
1959 February,316.48,NA
1959 March,316.65,NA
1959 April,317.72,NA
1959 May,318.29,NA
1959 June,318.15,NA
1959 July,316.54,NA
1959 August,314.8,NA
1959 September,313.84,NA
1959 October,313.33,NA
1959 November,314.81,NA
1959 December,315.58,NA
1960 January,316.43,NA
1960 February,316.98,NA
1960 March,317.58,NA
1960 April,319.03,NA
1960 May,320.04,NA
1960 June,319.59,NA
1960 July,318.18,NA
1960 August,315.9,NA
1960 September,314.17,NA
1960 October,313.83,NA
1960 November,315,NA
1960 December,316.19,NA
1961 January,316.89,NA
1961 February,317.7,NA
1961 March,318.54,NA
1961 April,319.48,NA
1961 May,320.58,NA
1961 June,319.77,NA
1961 July,318.57,NA
1961 August,316.79,NA
1961 September,314.99,NA
1961 October,315.31,NA
1961 November,316.1,NA
1961 December,317.01,NA
1962 January,317.94,NA
1962 February,318.55,NA
1962 March,319.68,NA
1962 April,320.57,NA
1962 May,321.02,NA
1962 June,320.62,NA
1962 July,319.61,NA
1962 August,317.4,NA
1962 September,316.25,NA
1962 October,315.42,NA
1962 November,316.69,NA
1962 December,317.7,NA
1963 January,318.74,NA
1963 February,319.07,NA
1963 March,319.86,NA
1963 April,321.38,NA
1963 May,322.25,NA
1963 June,321.48,NA
1963 July,319.74,NA
1963 August,317.77,NA
1963 September,316.21,NA
1963 October,315.99,NA
1963 November,317.07,NA
1963 December,318.35,NA
1964 January,319.57,NA
1964 February,320.01,NA
1964 March,320.74,NA
1964 April,321.84,NA
1964 May,322.26,NA
1964 June,321.89,NA
1964 July,320.44,NA
1964 August,318.69,NA
1964 September,316.7,NA
1964 October,316.87,NA
1964 November,317.68,NA
1964 December,318.71,NA
1965 January,319.44,NA
1965 February,320.44,NA
1965 March,320.89,NA
1965 April,322.14,NA
1965 May,322.17,NA
1965 June,321.87,NA
1965 July,321.21,NA
1965 August,318.87,NA
1965 September,317.81,NA
1965 October,317.3,NA
1965 November,318.87,NA
1965 December,319.42,NA
1966 January,320.62,NA
1966 February,321.6,NA
1966 March,322.39,NA
1966 April,323.7,NA
1966 May,324.08,NA
1966 June,323.75,NA
1966 July,322.38,NA
1966 August,320.36,NA
1966 September,318.64,NA
1966 October,318.1,NA
1966 November,319.78,NA
1966 December,321.03,NA
1967 January,322.33,NA
1967 February,322.5,NA
1967 March,323.04,NA
1967 April,324.42,NA
1967 May,325,NA
1967 June,324.09,NA
1967 July,322.54,NA
1967 August,320.92,NA
1967 September,319.25,NA
1967 October,319.39,NA
1967 November,320.73,NA
1967 December,321.96,NA
1968 January,322.57,NA
1968 February,323.15,NA
1968 March,323.89,NA
1968 April,325.02,NA
1968 May,325.57,NA
1968 June,325.36,NA
1968 July,324.14,NA
1968 August,322.11,NA
1968 September,320.33,NA
1968 October,320.25,NA
1968 November,321.32,NA
1968 December,322.89,NA
1969 January,324,NA
1969 February,324.42,NA
1969 March,325.63,NA
1969 April,326.66,NA
1969 May,327.38,NA
1969 June,326.71,NA
1969 July,325.88,NA
1969 August,323.66,NA
1969 September,322.38,NA
1969 October,321.78,NA
1969 November,322.86,NA
1969 December,324.12,NA
1970 January,325.06,NA
1970 February,325.98,NA
1970 March,326.93,NA
1970 April,328.13,NA
1970 May,328.08,NA
1970 June,327.67,NA
1970 July,326.34,NA
1970 August,324.69,NA
1970 September,323.1,NA
1970 October,323.06,NA
1970 November,324.01,NA
1970 December,325.13,NA
1971 January,326.17,NA
1971 February,326.68,NA
1971 March,327.17,NA
1971 April,327.79,NA
1971 May,328.93,NA
1971 June,328.57,NA
1971 July,327.36,NA
1971 August,325.43,NA
1971 September,323.36,NA
1971 October,323.56,NA
1971 November,324.8,NA
1971 December,326.01,NA
1972 January,326.77,NA
1972 February,327.63,NA
1972 March,327.75,NA
1972 April,329.72,NA
1972 May,330.07,NA
1972 June,329.09,NA
1972 July,328.04,NA
1972 August,326.32,NA
1972 September,324.84,NA
1972 October,325.2,NA
1972 November,326.5,NA
1972 December,327.55,NA
1973 January,328.55,NA
1973 February,329.56,NA
1973 March,330.3,NA
1973 April,331.5,NA
1973 May,332.48,NA
1973 June,332.07,NA
1973 July,330.87,NA
1973 August,329.31,NA
1973 September,327.51,NA
1973 October,327.18,NA
1973 November,328.16,NA
1973 December,328.64,NA
1974 January,329.35,NA
1974 February,330.71,NA
1974 March,331.48,NA
1974 April,332.65,NA
1974 May,333.18,0.31
1974 June,332.2,0.37
1974 July,331.07,0.24
1974 August,329.15,0.31
1974 September,327.33,0.47
1974 October,327.28,0.22
1974 November,328.31,0.43
1974 December,329.58,0.29
1975 January,330.73,0.43
1975 February,331.46,0.46
1975 March,331.94,0.33
1975 April,333.11,0.59
1975 May,333.95,0.35
1975 June,333.42,0.48
1975 July,331.97,0.45
1975 August,329.95,0.47
1975 September,328.5,0.53
1975 October,328.36,0.21
1975 November,329.38,0.31
1975 December,330.77,NA
1976 January,331.56,0.23
1976 February,332.74,0.49
1976 March,333.36,0.52
1976 April,334.74,0.77
1976 May,334.72,0.56
1976 June,333.98,0.21
1976 July,333.08,0.24
1976 August,330.68,0.51
1976 September,328.96,0.69
1976 October,328.72,0.57
1976 November,330.16,0.36
1976 December,331.62,0.38
1977 January,332.68,0.4
1977 February,333.17,0.34
1977 March,334.96,0.51
1977 April,336.14,0.5
1977 May,336.93,0.31
1977 June,336.17,0.4
1977 July,334.89,0.23
1977 August,332.56,0.46
1977 September,331.29,0.46
1977 October,331.28,0.29
1977 November,332.46,0.43
1977 December,333.6,0.36
1978 January,334.94,0.52
1978 February,335.26,0.5
1978 March,336.66,0.59
1978 April,337.69,0.44
1978 May,338.02,0.46
1978 June,338.01,0.31
1978 July,336.5,0.32
1978 August,334.42,0.32
1978 September,332.36,0.75
1978 October,332.45,0.34
1978 November,333.76,0.25
1978 December,334.91,0.33
1979 January,336.14,0.55
1979 February,336.69,0.3
1979 March,338.27,0.63
1979 April,338.82,0.67
1979 May,339.24,0.5
1979 June,339.26,0.35
1979 July,337.54,0.59
1979 August,335.72,0.6
1979 September,333.97,0.65
1979 October,334.24,0.42
1979 November,335.32,0.3
1979 December,336.81,0.23
1980 January,337.9,0.57
1980 February,338.34,0.49
1980 March,340.07,0.54
1980 April,340.93,0.29
1980 May,341.45,0.54
1980 June,341.36,0.39
1980 July,339.45,0.6
1980 August,337.67,1.05
1980 September,336.25,0.69
1980 October,336.14,0.26
1980 November,337.3,0.26
1980 December,338.29,0.25
1981 January,339.29,0.39
1981 February,340.55,0.65
1981 March,341.63,0.48
1981 April,342.6,0.46
1981 May,343.04,0.19
1981 June,342.54,0.29
1981 July,340.82,0.46
1981 August,338.48,0.48
1981 September,336.95,0.55
1981 October,337.05,0.39
1981 November,338.58,0.31
1981 December,339.91,0.28
1982 January,340.93,0.3
1982 February,341.76,0.49
1982 March,342.78,0.41
1982 April,343.96,0.42
1982 May,344.77,0.37
1982 June,343.88,0.37
1982 July,342.42,0.35
1982 August,340.24,0.61
1982 September,338.38,0.59
1982 October,338.41,0.5
1982 November,339.44,0.39
1982 December,340.78,0.3
1983 January,341.57,0.47
1983 February,342.79,0.37
1983 March,343.37,0.88
1983 April,345.39,0.29
1983 May,346.14,0.51
1983 June,345.76,0.3
1983 July,344.32,0.57
1983 August,342.51,0.73
1983 September,340.46,0.5
1983 October,340.53,0.31
1983 November,341.79,0.33
1983 December,343.2,0.25
1984 January,344.21,0.4
1984 February,344.92,0.32
1984 March,345.68,0.3
1984 April,347.38,NA
1984 May,347.78,0.42
1984 June,347.16,0.31
1984 July,345.79,0.33
1984 August,343.74,0.45
1984 September,341.59,0.72
1984 October,341.86,0.36
1984 November,343.31,0.41
1984 December,345,0.53
1985 January,345.48,0.38
1985 February,346.41,0.37
1985 March,347.91,0.34
1985 April,348.66,0.61
1985 May,349.28,0.51
1985 June,348.65,0.34
