month,res_total,ind_total
1973 January,1932.187,2701.524
1973 February,1687.255,2460.752
1973 March,1497.067,2579.613
1973 April,1177.661,2550.21
1973 May,1015.008,2741.81
1973 June,933.663,2641.221
1973 July,981.183,2691.487
1973 August,1018.978,2817.613
1973 September,956.55,2661.997
1973 October,991.668,2911.515
1973 November,1197.249,2937.298
1973 December,1507.395,2927.596
1974 January,1823.499,2601.723
1974 February,1562.936,2504.584
1974 March,1436.363,2591.78
1974 April,1215.416,2427.63
1974 May,1010.945,2610.64
1974 June,936.124,2526.551
1974 July,1013.51,2687.414
1974 August,987.592,2735.222
1974 September,919.805,2691.142
1974 October,999.326,2907.338
1974 November,1141.133,2809.339
1974 December,1607.437,2692.136
1975 January,1758.226,2763.065
1975 February,1615.051,2275.417
1975 March,1538.328,2440.013
1975 April,1366.55,2104.502
1975 May,1034.664,2220.526
1975 June,936.766,2286.045
1975 July,1003.672,2389.446
1975 August,1012.72,2452.756
1975 September,926.799,2422.751
1975 October,954.616,2693.61
1975 November,1065.259,2603.459
1975 December,1598.15,2762.669
1976 January,1986.659,2669.716
1976 February,1674.363,2327.845
1976 March,1434.389,2463.82
1976 April,1163.868,2359.133
1976 May,1009.166,2508.466
1976 June,964.724,2526.313
1976 July,1006.965,2622.912
1976 August,1002.932,2622.754
1976 September,923.155,2552.47
1976 October,1005.253,2906.867
1976 November,1372.664,2857.016
1976 December,1863.448,2976.731
1977 January,2239.681,2801.56
1977 February,1869.527,2238.883
1977 March,1441.002,2601.65
1977 April,1132.077,2463.15
1977 May,979.115,2670.669
1977 June,971.294,2699.588
1977 July,1084.85,2657.426
1977 August,1065.597,2746.716
1977 September,974.452,2737.107
1977 October,1018.153,2851.468
1977 November,1173.632,2853.192
1977 December,1708.154,2944.423
1978 January,2000.053,2935.009
1978 February,1924.551,2462.234
1978 March,1696.087,2494.343
1978 April,1206.671,2521.259
1978 May,1081.209,2712.974
1978 June,1006.572,2642.119
1978 July,1091.233,2736.671
1978 August,1118.362,2772.882
1978 September,1037.052,2650.587
1978 October,1050.203,2881.357
1978 November,1223.173,2902.769
1978 December,1692.701,2978.896
1979 January,2087.712,3046.493
1979 February,1987.811,2601.203
1979 March,1608.938,2716.638
1979 April,1240.043,2572.446
1979 May,1030.974,2816.628
1979 June,956.854,2763.461
1979 July,1038.818,2798.07
1979 August,1087.877,2872.964
1979 September,973.422,2726.214
1979 October,1016.045,3014.256
1979 November,1205.234,2974.3
1979 December,1576.952,3023.08
1980 January,1826.947,2957.907
1980 February,1779.042,2658.723
1980 March,1603.835,2748.129
1980 April,1209.233,2484.338
1980 May,1016.289,2595.274
1980 June,1003.445,2517.169
1980 July,1163.408,2503.659
1980 August,1168.734,2486.699
1980 September,1041.657,2578.643
1980 October,1043.756,2812.166
1980 November,1226.25,2773.898
1980 December,1670.298,2918.559
1981 January,2014.965,2728.047
1981 February,1683.398,2293.368
1981 March,1440.933,2600.476
1981 April,1108.806,2399.475
1981 May,996.568,2558.023
1981 June,1011.218,2529.46
1981 July,1125.714,2578.251
1981 August,1086.1,2575.742
1981 September,951.551,2517.445
1981 October,1049.961,2664.389
1981 November,1180.761,2543.088
1981 December,1605.626,2724.461
1982 January,2037.891,2628.64
1982 February,1742.925,2184.459
1982 March,1533.826,2383.021
1982 April,1294.481,2224.421
1982 May,1009.215,2206.428
1982 June,968.998,2230.655
1982 July,1104.857,2276.115
1982 August,1099.316,2296.163
1982 September,1022.053,2178.64
1982 October,1005.641,2362.924
1982 November,1168.342,2364.299
1982 December,1539.935,2279.362
1983 January,1922.144,2307.397
1983 February,1580.016,2123.766
1983 March,1490.168,2279.943
1983 April,1273.99,2188.932
1983 May,1034.261,2262.386
1983 June,978.628,2260.918
1983 July,1141.32,2300.968
1983 August,1213.98,2353.518
1983 September,1056.284,2238.222
1983 October,976.307,2310.584
1983 November,1130.908,2360.477
1983 December,1625.005,2442.541
1984 January,2129.572,2642.979
1984 February,1675.856,2418.941
1984 March,1589.806,2570.505
1984 April,1291.656,2460.433
1984 May,1108.134,2519.4
1984 June,1052.346,2454.306
1984 July,1132.58,2448.97
1984 August,1168.674,2515.35
1984 September,1028.098,2313.561
1984 October,1008.054,2440.579
1984 November,1187.911,2379.917
1984 December,1582.196,2408.154
1985 January,1953.435,2591.591
